Nuclei_Location_Center_X,Nuclei_Location_Center_Y
1013,15
1033,26
557,34
765,58
1060,58
19,64
446,74
777,77
699,98
403,104
565,114
643,123
889,127
690,130
550,134
729,151
585,171
894,183
910,188
344,188
363,189
392,185
1050,201
827,206
613,211
780,217
897,229
531,232
654,232
972,238
858,263
625,286
1041,300
1051,312
712,318
1052,331
459,329
542,334
832,356
506,362
566,370
792,383
613,387
554,404
829,406
568,417
691,424
1015,427
852,446
694,447
604,451
564,465
860,537
799,543
979,546
735,543
854,564
1033,567
392,572
766,606
861,941
814,948
769,998
882,999
789,1021
709,1059
692,1060
754,1060
