Nuclei_Location_Center_X,Nuclei_Location_Center_Y
936,20
195,31
499,31
938,40
507,47
372,56
447,53
453,71
24,75
83,72
542,80
820,79
228,84
278,88
163,95
1057,87
331,100
240,105
52,117
235,145
163,146
439,147
859,149
775,166
97,178
279,184
225,189
359,188
185,197
100,203
959,201
910,199
801,218
902,222
697,218
421,219
186,243
522,239
500,242
467,268
720,280
968,279
81,288
979,294
412,296
193,293
933,310
172,308
51,304
98,303
571,310
984,311
331,315
97,324
216,318
964,321
713,332
393,335
520,346
261,353
773,376
119,390
684,391
20,396
205,425
529,428
402,433
343,449
131,461
832,462
1049,471
658,478
772,482
219,501
544,507
123,512
29,515
674,537
988,592
389,605
776,673
364,679
1024,692
647,700
498,712
1019,711
1024,743
1059,744
304,752
303,775
182,781
548,860
488,857
116,869
191,879
380,905
846,902
460,917
243,933
837,1047
47,1051
