Nuclei_Location_Center_X,Nuclei_Location_Center_Y
117,17
38,55
449,62
608,73
69,88
447,86
262,90
98,99
484,116
905,120
640,138
497,178
214,186
157,187
713,197
157,207
105,214
600,234
470,235
736,240
54,262
269,277
825,290
670,295
576,299
183,319
459,316
528,326
902,325
460,347
334,360
649,361
76,366
774,372
193,373
216,374
506,395
521,412
155,423
490,431
790,433
868,441
567,444
670,445
580,459
122,466
513,482
15,486
695,494
324,504
395,519
255,525
91,551
712,568
412,566
435,580
636,598
39,602
755,610
1052,621
437,624
969,623
458,625
869,629
644,647
943,656
658,660
516,663
394,662
763,667
937,683
19,683
819,737
941,739
629,745
725,757
1040,758
191,779
1041,807
852,814
733,817
638,830
922,849
774,899
389,921
707,957
495,963
1026,980
556,984
362,984
133,1002
937,1019
592,1042
