Nuclei_Location_Center_X,Nuclei_Location_Center_Y
72,22
283,26
866,33
796,47
964,56
39,73
436,81
33,89
47,104
891,113
117,128
443,125
832,135
894,160
876,160
989,196
788,206
19,217
504,219
815,217
485,235
766,229
805,234
66,236
830,268
904,291
26,312
249,317
810,314
308,327
641,346
330,352
769,360
603,364
46,367
644,372
621,383
85,381
573,383
53,387
51,405
91,401
76,411
727,418
104,427
895,554
754,623
785,686
737,710
1042,784
948,801
958,816
1011,836
931,902
837,907
865,899
886,909
693,925
903,931
861,939
45,960
882,980
143,987
888,1026
907,1027
896,1047
