Nuclei_Location_Center_X,Nuclei_Location_Center_Y
876,19
940,23
958,30
753,31
788,44
705,54
732,84
823,124
809,141
721,143
726,160
840,204
1033,218
227,221
1016,233
862,240
247,254
234,271
223,290
113,299
132,306
253,312
229,318
430,342
350,343
300,361
349,367
414,387
344,388
267,395
500,400
105,406
579,424
164,424
373,423
526,419
427,426
252,439
570,446
427,480
602,479
704,510
188,513
472,543
540,542
231,549
687,562
133,562
58,571
582,610
190,620
597,635
199,636
575,639
612,647
192,678
606,680
264,706
375,705
588,728
333,729
533,735
384,743
622,781
544,790
400,800
509,804
562,808
683,807
525,818
514,830
107,836
590,851
146,853
76,854
579,865
122,883
101,899
877,903
855,917
903,917
861,933
577,932
901,947
453,963
562,974
866,973
881,1008
392,1029
338,1027
731,1033
786,1035
506,1064
952,1065
