Nuclei_Location_Center_X,Nuclei_Location_Center_Y
350,17
543,33
837,39
320,56
341,68
1062,69
1055,86
177,99
99,105
911,110
572,124
123,124
83,133
969,136
664,156
955,157
887,163
177,170
788,173
679,184
231,188
854,202
282,215
530,219
789,253
56,267
1043,349
394,374
196,386
243,405
883,413
147,438
322,451
491,470
469,472
379,488
170,503
217,558
337,610
444,628
393,641
429,688
264,704
156,759
232,784
164,812
550,893
741,901
703,902
562,912
881,956
700,969
169,982
693,995
196,997
205,1010
220,1029
201,1043
1060,1055
