Nuclei_Location_Center_X,Nuclei_Location_Center_Y
1055,93
1042,106
1044,128
966,190
914,202
881,210
1002,210
852,226
773,246
947,267
864,261
420,260
1038,281
888,292
387,298
704,312
737,304
456,319
729,335
491,339
425,362
487,365
550,373
283,393
526,402
544,417
365,483
390,494
254,500
880,506
463,513
871,523
266,533
416,537
594,646
824,651
573,669
789,672
818,691
749,700
665,716
907,714
820,734
858,736
731,741
540,748
707,775
620,771
899,778
811,786
859,794
584,800
653,803
824,804
786,808
43,935
157,957
81,965
17,978
27,995
47,993
213,996
50,1025
135,1030
143,1053
