Nuclei_Location_Center_X,Nuclei_Location_Center_Y
114,31
460,52
340,63
522,78
1017,108
567,158
358,168
853,174
81,175
774,198
403,205
393,224
347,234
426,271
577,300
718,315
206,326
811,326
686,326
583,328
407,351
548,355
433,392
709,402
403,412
248,424
568,429
233,437
570,478
510,479
269,486
599,507
561,520
266,516
271,535
374,588
765,633
189,647
15,651
195,716
323,735
335,759
111,764
275,765
296,768
77,770
440,780
367,787
843,819
505,832
562,865
605,883
556,889
389,897
582,896
600,909
984,913
442,942
606,958
537,966
217,983
994,1012
334,1012
1043,1015
417,1041
898,1055
