Nuclei_Location_Center_X,Nuclei_Location_Center_Y
119,28
793,43
60,48
170,58
904,71
926,76
1017,79
1002,96
664,102
112,120
193,123
1033,123
1016,134
798,139
629,160
932,188
596,194
622,197
153,210
690,213
604,216
625,221
1033,226
842,231
40,232
706,237
1043,263
1055,265
1006,290
949,294
781,312
879,310
652,338
108,337
1012,372
722,375
876,388
852,391
675,397
791,401
654,401
747,441
823,443
1033,460
402,470
443,473
422,488
1054,495
1029,497
520,499
389,503
416,517
453,517
917,520
521,531
397,536
436,546
690,584
711,586
305,609
325,625
449,665
1044,689
1059,692
111,697
505,696
544,696
994,699
473,705
533,718
192,710
1016,727
963,743
937,739
579,740
250,747
474,747
378,751
1048,761
1032,769
951,769
212,790
499,794
959,799
1030,804
290,813
1027,820
1007,846
850,845
217,859
850,864
996,874
857,882
107,896
92,899
930,905
845,918
981,919
398,917
724,921
78,923
350,930
989,935
697,933
434,937
978,953
902,962
577,978
657,1001
33,1002
596,1011
739,1037
776,1056
