Nuclei_Location_Center_X,Nuclei_Location_Center_Y
723,18
82,24
96,33
790,50
299,53
162,68
209,71
823,75
829,105
820,133
261,151
830,153
948,201
1050,202
967,203
325,226
972,232
284,232
437,236
890,247
1035,247
442,257
257,275
366,277
980,281
338,305
429,311
816,330
488,330
863,342
541,352
282,351
815,379
301,388
260,393
328,396
430,399
474,410
783,414
808,426
566,432
369,433
258,459
427,468
315,468
128,484
371,477
525,485
439,486
372,495
607,496
209,525
260,535
1049,545
470,545
302,552
446,576
1043,582
387,588
346,589
731,599
717,599
481,609
699,606
402,617
963,616
620,617
929,619
523,620
379,633
531,649
995,660
345,678
317,691
802,1026
