Nuclei_Location_Center_X,Nuclei_Location_Center_Y
812,59
1016,84
734,123
1007,128
859,161
843,168
867,193
886,216
1030,236
690,261
446,275
927,306
20,337
915,372
724,406
547,451
432,475
663,487
944,488
461,513
926,504
947,512
1042,519
981,515
209,520
926,527
912,526
908,546
968,535
61,574
998,595
891,613
681,617
1053,615
458,622
218,632
852,640
871,647
939,665
830,660
858,678
656,677
477,691
1058,693
47,698
52,717
432,728
204,729
984,731
816,729
781,737
888,744
70,753
296,752
387,752
584,761
314,767
142,773
339,776
899,780
340,793
729,796
38,806
838,812
1021,810
458,814
536,825
181,833
525,852
250,871
534,879
197,883
628,892
180,895
295,898
387,907
455,911
989,914
93,913
259,928
145,952
218,959
418,962
863,965
553,967
575,973
339,978
167,988
491,996
528,1004
628,1011
131,1026
411,1033
548,1039
220,1040
420,1053
753,1046
510,1053
486,1054
460,1059
