Nuclei_Location_Center_X,Nuclei_Location_Center_Y
172,17
229,40
384,68
545,72
457,78
131,103
812,112
979,114
990,136
440,161
186,188
642,194
904,194
782,198
1014,223
556,232
335,249
425,268
216,288
79,289
794,297
546,311
1011,326
942,336
723,338
801,360
1027,355
555,364
486,369
320,376
958,378
501,402
477,402
918,410
743,429
1010,438
244,470
1035,479
231,494
160,491
729,508
617,519
984,541
472,545
84,547
759,559
839,565
1041,585
340,598
76,591
226,634
409,631
639,635
1017,644
731,646
555,645
920,658
838,688
707,697
1031,730
833,733
621,735
758,742
905,753
849,789
683,802
189,830
494,835
809,842
1033,840
869,874
417,876
680,883
983,883
1046,913
122,919
910,920
771,924
987,986
80,998
715,1011
171,1013
850,1012
964,1028
66,1051
