Nuclei_Location_Center_X,Nuclei_Location_Center_Y
388,23
828,42
531,45
409,165
256,172
335,195
316,202
314,252
285,270
291,297
243,378
281,432
255,463
319,515
789,542
390,557
177,567
877,581
288,599
241,639
284,650
185,659
541,656
401,680
881,684
991,698
595,700
193,717
748,730
263,734
129,751
328,757
512,761
685,768
1014,779
451,793
1008,797
315,806
933,820
595,818
796,820
822,832
875,845
174,841
1024,845
86,861
306,869
601,887
738,890
516,906
685,904
203,917
408,918
183,925
823,940
257,948
153,951
276,962
631,962
498,965
619,982
754,981
77,990
359,993
555,995
910,1024
263,1029
723,1027
775,1043
515,1057
1013,1058
1030,1058
1044,1063
