Nuclei_Location_Center_X,Nuclei_Location_Center_Y
885,32
897,56
996,62
183,75
256,80
493,83
80,89
883,106
868,122
877,136
401,138
393,167
853,171
799,197
833,202
1009,196
772,227
1054,242
1025,254
781,252
801,254
1068,253
929,260
1061,264
688,281
835,279
1042,279
727,292
434,311
1011,312
888,320
800,331
974,332
878,343
686,357
1040,377
721,378
850,388
991,394
819,405
1032,403
1025,425
778,439
215,475
26,476
95,499
315,542
884,570
928,572
34,582
858,593
909,598
893,608
101,691
97,712
49,712
532,855
517,857
503,869
204,885
769,888
203,908
865,918
522,961
658,995
61,1031
28,1031
653,1049
103,1060
643,1060
