Nuclei_Location_Center_X,Nuclei_Location_Center_Y
104,15
538,25
95,30
221,36
261,41
776,42
217,74
227,110
838,118
762,131
267,146
248,155
1032,190
46,237
769,290
87,319
900,351
719,373
577,421
599,441
925,457
53,466
80,506
35,532
31,551
833,551
66,596
82,634
661,645
809,647
662,720
735,734
702,831
895,866
97,874
103,891
1055,938
559,950
268,946
506,963
832,970
598,972
711,979
530,1002
1055,1007
454,1007
680,1032
496,1038
416,1042
596,1048
272,1057
