Nuclei_Location_Center_X,Nuclei_Location_Center_Y
677,20
37,22
698,21
569,25
157,53
802,66
852,70
785,75
820,98
791,109
978,145
884,152
52,150
284,178
1063,196
573,205
340,221
1051,280
444,287
107,289
303,295
587,308
551,314
477,313
153,323
155,347
486,349
501,353
55,377
74,381
1048,404
95,414
295,418
401,439
585,441
820,458
985,469
265,472
501,484
83,504
937,509
1035,507
383,510
641,513
571,521
676,542
447,537
539,550
24,557
204,561
668,565
131,558
639,569
865,590
885,590
344,606
439,620
520,637
615,674
393,678
240,713
494,725
572,729
422,771
275,819
634,823
622,870
1056,895
480,901
944,944
1028,960
648,980
664,1011
