Nuclei_Location_Center_X,Nuclei_Location_Center_Y
513,18
897,44
599,58
736,87
835,91
653,112
909,166
615,171
678,181
767,186
522,187
853,222
804,230
726,250
60,259
115,278
48,286
651,289
817,322
257,343
136,344
981,380
90,430
995,443
330,443
942,485
768,504
968,512
1018,539
113,551
1062,551
53,568
964,581
216,609
170,623
440,650
1011,683
105,737
1003,751
248,780
13,786
282,812
530,856
237,868
335,871
1056,934
129,987
861,1028
767,1042
21,1051
1061,1058
