Nuclei_Location_Center_X,Nuclei_Location_Center_Y
149,48
371,56
659,61
118,70
1040,80
780,77
890,83
403,83
868,95
459,109
793,116
741,121
612,118
137,129
477,135
385,138
401,144
577,149
423,149
711,150
984,161
412,178
636,177
470,198
709,199
504,228
496,252
1062,272
1058,292
810,295
1019,299
112,333
140,353
803,359
106,374
1021,379
1045,382
637,389
185,398
726,402
129,409
23,430
180,438
324,436
663,445
234,449
815,460
404,489
291,493
845,511
793,519
820,530
909,531
813,562
493,574
745,577
403,580
466,581
430,581
481,586
871,660
393,686
365,689
783,793
794,807
1027,868
1026,888
1007,887
692,907
651,923
628,1014
1059,1013
484,1026
557,1031
1066,1031
957,1042
368,1043
399,1057
381,1062
