Nuclei_Location_Center_X,Nuclei_Location_Center_Y
283,17
653,23
990,33
189,65
919,66
414,70
1054,84
595,80
638,85
338,96
816,109
284,121
454,138
547,146
750,147
989,154
165,158
117,162
370,175
875,190
606,183
695,195
807,195
937,213
786,216
442,224
1040,244
1024,251
557,262
594,273
480,283
944,281
790,284
709,310
1038,327
73,334
860,347
811,365
444,371
354,378
655,384
733,401
561,457
986,477
636,484
720,492
46,498
855,498
562,546
988,563
736,648
43,664
1015,706
96,743
906,757
888,758
293,832
551,880
427,889
39,890
479,916
247,938
89,954
984,967
391,970
195,981
554,1013
670,1017
110,1050
597,1058
