Nuclei_Location_Center_X,Nuclei_Location_Center_Y
176,25
610,49
595,57
974,56
996,172
918,223
962,232
1025,295
1013,305
944,312
996,333
771,398
407,403
778,419
807,420
602,431
800,441
408,464
465,469
626,479
877,511
486,506
521,513
382,516
487,530
381,548
972,565
518,571
972,592
665,607
1009,608
989,618
975,631
908,656
894,677
1025,679
1001,689
874,692
696,825
644,850
502,883
578,916
753,924
626,923
638,940
842,940
563,954
230,968
605,978
839,1010
710,1012
581,1024
745,1024
738,1046
643,1050
246,1053
800,1065
