Nuclei_Location_Center_X,Nuclei_Location_Center_Y
1060,29
16,39
1009,43
547,46
54,59
910,59
26,61
202,69
566,98
151,111
702,110
472,113
251,119
37,146
1048,152
933,159
630,160
38,166
158,170
76,173
359,188
836,189
236,192
701,193
662,243
398,246
609,252
338,254
750,259
236,297
654,306
787,307
443,312
507,314
277,321
32,324
141,328
333,351
576,356
698,361
221,366
110,369
853,375
798,388
297,389
426,398
308,408
366,408
56,406
872,419
133,422
70,427
815,427
736,457
147,471
86,498
126,500
70,509
118,515
283,531
162,547
346,562
59,573
388,602
220,613
796,661
133,672
441,680
328,678
221,697
578,707
872,731
27,736
1020,733
307,755
229,758
512,762
907,771
169,776
611,794
770,825
529,820
523,850
717,876
610,883
263,890
828,896
108,893
661,911
829,930
416,949
555,955
917,959
534,959
464,968
651,971
26,989
558,1006
580,1011
772,1017
285,1017
89,1041
1040,1036
28,1045
278,1040
1032,1053
293,1054
