Nuclei_Location_Center_X,Nuclei_Location_Center_Y
667,21
492,21
366,42
321,47
214,47
408,49
535,50
515,60
826,62
185,69
182,126
128,134
735,143
362,148
522,155
205,155
697,186
1040,191
127,193
621,201
19,208
53,209
500,214
264,221
413,233
331,242
1011,276
728,284
86,292
581,297
573,317
491,317
148,302
836,321
353,333
169,336
234,330
620,346
800,346
406,350
523,352
278,359
202,366
873,360
727,368
887,384
80,387
656,395
451,411
434,421
765,421
228,425
864,459
506,458
671,458
278,465
653,469
745,475
181,482
372,487
585,490
509,519
668,520
529,523
204,528
52,536
792,551
673,570
102,573
941,584
391,588
499,583
859,615
617,619
559,624
720,641
776,760
630,763
295,791
458,797
850,809
748,829
920,867
684,895
932,992
108,1005
849,1043
