Nuclei_Location_Center_X,Nuclei_Location_Center_Y
154,14
587,34
108,73
21,84
117,87
659,85
777,92
669,110
843,115
700,126
798,144
815,229
363,224
711,238
843,300
752,313
382,317
396,330
786,330
428,342
429,360
478,360
639,393
740,392
574,401
414,412
866,429
707,492
500,497
441,519
865,540
740,547
820,557
689,581
495,589
557,600
743,639
1046,644
1056,664
794,681
621,685
80,709
211,717
173,735
111,736
691,751
179,754
648,764
803,797
507,799
69,806
85,805
758,806
94,815
807,820
86,832
22,868
746,869
682,887
950,897
787,898
615,910
936,912
859,918
819,950
880,951
755,967
1001,993
856,1012
896,1009
571,1013
931,1012
1008,1019
639,1023
1039,1034
1003,1038
1038,1054
931,1060
