Nuclei_Location_Center_X,Nuclei_Location_Center_Y
385,18
477,20
109,34
523,52
591,65
644,79
725,85
1031,108
707,116
511,132
784,137
431,138
854,153
581,157
125,167
1034,179
682,181
335,195
783,205
627,204
507,212
559,251
652,249
635,261
905,273
744,274
835,298
452,301
567,309
690,323
233,335
627,345
589,359
343,368
652,377
266,388
282,398
541,412
379,414
501,420
416,433
227,436
395,443
155,448
753,451
196,459
294,483
115,490
241,508
178,527
306,561
219,595
583,613
665,629
71,677
345,689
125,690
235,701
455,713
335,732
89,737
26,745
105,774
631,809
551,823
474,851
99,846
300,852
261,871
97,866
35,878
429,884
683,898
526,904
450,908
188,916
57,926
598,931
25,959
668,957
683,978
409,996
618,1002
562,1005
960,1033
40,1035
700,1033
500,1035
722,1038
