Nuclei_Location_Center_X,Nuclei_Location_Center_Y
100,37
959,90
672,104
698,147
907,151
979,151
1006,157
859,160
748,177
617,178
936,195
965,196
758,203
799,203
465,208
747,218
791,222
909,218
887,228
737,269
820,274
881,277
852,314
812,344
854,345
679,363
749,371
471,409
536,410
715,418
692,442
989,440
1060,459
754,460
959,471
983,471
795,472
1020,481
920,493
597,499
724,498
987,500
881,508
797,510
15,521
907,528
685,547
967,547
975,579
954,587
665,599
911,638
961,653
1020,656
43,659
996,666
1019,697
942,693
948,716
985,727
1011,881
1007,900
1048,944
573,949
585,980
585,1027
606,1030
207,1060
