Nuclei_Location_Center_X,Nuclei_Location_Center_Y
212,24
680,27
190,53
175,67
203,74
37,178
105,245
22,283
215,368
108,393
156,411
152,478
32,635
820,653
774,669
914,693
931,708
892,738
1004,758
155,765
37,802
137,806
933,815
983,839
1024,848
943,847
940,875
1004,879
782,888
1038,907
899,924
17,927
43,935
1036,956
959,961
648,977
783,989
806,998
582,998
904,1009
663,1008
1021,1010
627,1025
518,1030
576,1034
689,1043
784,1036
810,1048
634,1058
283,1065
