Nuclei_Location_Center_X,Nuclei_Location_Center_Y
1058,13
306,22
163,24
255,26
227,35
762,33
828,38
364,40
283,40
422,52
264,54
649,53
849,56
673,58
996,60
1055,58
975,68
387,71
1015,73
85,89
924,92
734,95
1039,97
690,101
398,106
280,114
332,118
923,116
225,119
242,121
85,134
915,135
375,140
147,143
953,165
206,180
263,181
805,181
856,197
66,203
166,212
306,227
919,227
53,233
747,246
793,244
87,250
1057,265
831,274
149,282
775,304
46,305
793,306
1014,315
156,318
1047,332
98,344
982,352
443,354
30,356
225,389
195,391
385,396
158,417
186,435
547,491
564,498
310,499
384,538
608,587
372,591
597,593
544,595
587,609
351,675
41,671
285,685
495,706
100,725
28,732
126,749
146,750
460,752
510,762
436,822
37,922
41,953
338,989
839,994
418,1016
777,1049
