Nuclei_Location_Center_X,Nuclei_Location_Center_Y
842,19
667,31
923,42
986,62
1050,65
968,70
741,83
694,148
831,150
585,152
25,177
699,207
714,218
738,238
746,257
955,277
948,305
878,386
1060,395
947,404
885,407
769,477
784,495
1022,520
249,547
175,561
721,573
736,592
269,595
793,603
1046,625
198,642
734,705
1045,727
278,737
202,751
527,756
405,804
719,802
204,814
725,826
625,873
543,905
707,911
229,930
436,934
285,952
1047,971
226,971
911,973
782,979
815,981
352,986
602,989
515,991
811,1004
257,1010
719,1009
437,1018
938,1028
98,1028
1018,1037
846,1042
566,1054
106,1057
