Nuclei_Location_Center_X,Nuclei_Location_Center_Y
687,70
939,90
395,104
398,118
822,117
415,124
318,132
420,136
401,145
590,154
698,185
283,196
621,195
360,198
340,202
489,265
719,265
765,287
445,296
619,308
497,323
410,339
784,348
639,366
401,375
713,371
461,404
782,407
511,421
727,439
589,473
542,477
907,510
913,528
574,536
647,544
877,645
978,658
120,683
177,686
207,685
103,703
1014,732
78,746
69,769
895,770
137,787
322,795
131,799
55,810
139,810
89,830
129,841
90,846
261,837
75,852
368,855
779,859
258,859
173,858
378,870
278,873
314,876
105,882
138,884
170,883
145,893
713,897
172,902
280,906
1061,918
652,927
261,930
369,944
615,964
602,1005
428,1013
730,1016
774,1026
571,1032
718,1056
418,1053
635,1061
