Nuclei_Location_Center_X,Nuclei_Location_Center_Y
393,28
190,30
755,38
988,42
537,45
554,63
281,53
626,59
820,65
985,137
957,138
832,153
753,156
1002,161
269,166
975,171
947,175
664,213
582,221
897,226
779,229
430,270
507,277
840,286
1051,299
711,301
917,340
497,355
817,368
792,372
402,406
913,409
406,432
485,438
540,433
724,443
1047,457
814,454
977,486
376,521
496,525
822,551
626,575
627,600
427,602
764,685
967,686
631,696
726,702
777,721
241,727
253,727
231,740
644,751
245,751
855,772
117,776
663,779
267,783
103,799
498,816
886,833
985,839
156,853
388,853
449,852
557,859
549,877
678,879
777,905
321,912
904,924
42,942
835,951
811,961
623,969
828,989
304,991
692,991
217,994
251,1007
794,1015
967,1021
1039,1034
913,1065
