Nuclei_Location_Center_X,Nuclei_Location_Center_Y
942,34
499,37
662,53
380,62
52,81
326,81
109,85
39,146
489,154
697,155
617,160
579,165
706,213
831,234
768,253
415,254
431,272
139,279
639,275
234,288
866,297
680,299
70,334
841,348
452,367
742,372
119,384
195,379
737,397
813,399
905,423
163,430
644,431
52,439
263,443
356,458
204,493
743,507
559,507
159,529
113,534
887,547
800,547
296,554
1006,604
555,600
237,622
977,628
486,631
495,644
742,700
370,700
785,707
977,728
316,733
324,753
729,778
769,781
759,795
413,843
75,851
709,905
139,922
998,931
136,1041
904,1055
825,1056
