Nuclei_Location_Center_X,Nuclei_Location_Center_Y
493,36
229,40
501,49
221,59
413,54
592,60
491,63
356,68
692,81
112,97
983,119
452,129
521,128
471,135
723,136
280,142
330,148
618,154
204,182
745,183
185,193
598,201
469,205
187,212
367,226
78,235
971,253
510,244
256,253
238,263
265,267
570,267
337,268
762,289
417,293
692,294
134,301
559,326
314,330
780,340
243,345
658,348
431,344
505,349
450,354
233,365
446,376
520,406
78,420
504,427
351,434
250,436
448,440
170,467
221,481
318,486
620,502
637,525
379,533
274,539
486,553
152,573
164,588
44,592
91,604
76,614
117,630
667,626
546,640
937,661
627,668
908,668
523,686
259,694
581,716
926,724
27,725
101,728
618,734
862,736
766,761
162,774
789,800
537,800
476,805
963,805
1048,809
384,815
30,818
963,831
715,848
768,870
982,871
740,876
752,883
824,913
646,930
985,938
883,946
160,969
830,967
819,977
823,992
705,993
1010,1026
826,1030
848,1034
921,1039
704,1045
683,1052
