Nuclei_Location_Center_X,Nuclei_Location_Center_Y
660,14
20,31
915,35
828,43
711,40
789,55
648,59
259,82
772,88
726,99
186,102
947,120
706,122
222,198
668,321
833,335
382,356
356,368
661,374
841,372
815,386
405,392
758,401
639,406
840,415
401,419
359,422
736,439
637,447
808,445
498,448
444,454
691,455
703,466
660,474
483,488
724,501
478,509
581,515
882,530
904,540
879,555
961,563
694,562
762,563
665,569
823,595
903,623
909,639
823,645
875,668
752,685
241,696
739,697
965,697
928,703
724,710
299,715
997,746
258,761
130,779
1000,780
115,783
182,783
110,803
881,804
907,811
220,809
1054,811
1018,816
778,820
374,829
746,828
269,836
344,855
86,859
569,878
903,886
436,895
929,904
476,922
361,924
612,925
941,927
423,935
481,966
869,965
611,974
371,978
1047,989
399,1004
455,1021
425,1045
612,1049
