Nuclei_Location_Center_X,Nuclei_Location_Center_Y
176,25
13,77
133,107
79,161
908,218
997,224
144,221
95,233
865,238
851,252
268,278
214,344
976,345
204,434
1020,450
54,474
1059,486
251,515
866,521
33,541
130,560
103,578
698,620
205,648
132,700
723,703
740,730
715,740
495,748
295,764
230,776
103,805
551,806
958,852
709,871
317,867
99,874
185,880
442,889
459,894
512,896
291,918
514,940
671,942
94,943
287,949
132,949
397,948
614,949
307,980
104,1015
499,1017
518,1022
416,1032
139,1036
636,1038
562,1049
53,1052
370,1060
642,1062
