Nuclei_Location_Center_X,Nuclei_Location_Center_Y
797,22
1048,52
968,59
747,70
502,84
223,97
282,126
431,149
454,156
227,178
662,181
169,202
298,258
1032,256
946,258
946,279
150,279
277,295
475,327
72,335
924,338
356,347
239,351
989,360
135,352
544,384
175,417
1043,438
304,439
253,449
67,467
103,474
70,483
978,483
97,491
877,642
384,692
1032,797
366,815
576,824
353,830
955,852
111,867
484,926
247,942
398,940
107,996
515,1005
587,1004
360,1016
506,1023
576,1024
295,1043
