Nuclei_Location_Center_X,Nuclei_Location_Center_Y
708,28
839,41
244,47
663,53
468,60
510,62
229,68
911,75
764,85
103,88
630,87
749,103
541,123
947,126
58,167
738,178
849,186
432,188
324,200
502,197
1013,248
989,249
804,250
505,252
898,263
680,267
599,286
804,291
458,296
1026,301
249,300
52,310
628,356
646,360
444,374
972,371
836,381
1024,382
53,385
364,389
694,398
602,412
485,416
270,424
100,422
920,429
203,449
18,453
473,457
896,469
747,468
489,473
132,483
713,483
1047,488
352,510
166,509
577,509
428,510
144,515
273,512
446,521
980,522
996,526
266,531
706,533
1020,546
725,547
890,549
952,554
167,602
78,604
93,616
1053,619
894,644
1051,656
767,664
673,673
1007,672
283,687
935,693
244,699
159,708
120,708
831,723
130,734
1054,740
289,739
333,747
979,755
748,768
375,767
236,798
1013,808
375,815
305,824
147,823
738,827
202,849
859,845
39,861
871,866
932,862
983,862
345,865
359,881
933,882
425,883
115,892
180,894
322,899
846,903
266,920
855,923
305,927
477,936
644,936
561,941
1022,950
217,970
354,970
906,994
174,1025
394,1028
15,1041
1001,1042
529,1053
78,1057
