Nuclei_Location_Center_X,Nuclei_Location_Center_Y
400,32
581,35
344,52
59,70
368,89
445,81
369,127
120,132
197,143
523,160
524,179
693,204
167,208
495,217
417,223
56,244
902,270
467,279
203,298
1008,302
299,304
346,306
144,308
851,323
535,327
54,339
916,337
512,340
274,362
113,370
974,372
376,383
547,395
673,392
226,397
831,406
509,404
958,439
565,450
56,468
144,477
99,504
994,503
249,505
592,507
468,513
926,518
34,540
629,544
775,567
529,570
437,570
160,605
54,610
338,608
519,617
548,648
621,652
317,651
89,660
48,674
64,687
676,691
19,716
57,717
231,733
419,749
658,760
1011,776
94,787
1005,795
214,791
408,798
771,824
169,852
41,891
943,896
113,908
996,917
42,980
135,1004
78,1060
