Nuclei_Location_Center_X,Nuclei_Location_Center_Y
1038,53
991,188
1029,235
887,282
966,294
994,307
897,314
954,328
681,452
660,454
669,514
628,530
951,558
1042,562
998,586
93,593
64,594
968,620
60,634
401,635
112,643
84,651
422,668
443,677
982,676
397,689
354,691
1020,691
146,693
313,696
100,705
124,710
340,712
684,716
717,720
513,720
848,739
362,743
348,748
603,754
668,765
966,761
707,765
951,783
885,829
729,840
865,853
954,885
706,885
54,891
204,894
341,893
401,896
137,905
756,912
725,934
17,944
684,957
507,992
614,996
233,1003
457,1016
539,1021
407,1023
1025,1025
989,1033
343,1045
503,1047
321,1062
