Nuclei_Location_Center_X,Nuclei_Location_Center_Y
540,36
998,41
753,53
715,52
913,65
559,68
741,69
588,87
820,89
963,93
1024,112
566,130
776,144
722,166
814,179
854,181
1020,193
977,214
701,238
1029,275
293,358
219,380
829,393
901,412
339,414
781,414
827,440
750,450
876,457
367,458
819,477
258,493
335,504
879,505
211,514
268,533
379,560
892,573
334,596
176,598
417,605
330,623
387,634
207,644
367,642
111,705
206,711
302,730
897,752
174,761
115,769
75,783
287,784
341,805
119,819
361,834
905,831
932,857
326,870
145,865
224,875
277,893
534,901
278,911
227,914
101,913
133,924
163,926
145,947
295,937
904,977
261,996
141,1009
236,1029
1048,1036
