Nuclei_Location_Center_X,Nuclei_Location_Center_Y
642,31
39,28
956,32
474,53
976,61
948,58
253,80
743,83
215,106
845,118
950,121
44,129
311,145
307,164
269,169
933,188
435,195
545,193
879,214
18,220
37,225
863,227
339,256
986,267
305,266
354,275
928,278
21,276
1031,287
111,289
230,297
869,306
899,314
142,320
342,332
435,336
646,348
343,395
485,454
224,480
671,514
989,523
629,533
692,539
335,547
505,541
682,551
504,572
796,561
759,564
704,572
910,570
732,576
277,594
776,608
705,617
758,620
842,640
458,641
983,648
563,655
390,664
415,671
198,673
250,681
635,704
954,706
76,716
188,721
496,726
746,726
764,740
710,736
262,744
727,760
779,762
738,778
934,788
589,793
508,794
703,797
991,813
184,818
682,828
419,836
225,845
543,882
870,883
340,895
966,894
128,899
103,905
144,915
569,931
569,959
592,957
452,973
341,981
430,980
248,982
405,990
421,1003
179,1034
