Nuclei_Location_Center_X,Nuclei_Location_Center_Y
323,26
510,28
694,25
686,46
605,79
892,115
775,133
384,148
825,230
883,240
154,249
172,256
784,279
204,292
700,309
662,317
630,336
887,336
27,342
136,350
19,357
631,389
787,394
89,391
646,398
918,391
76,400
272,401
730,400
743,439
698,456
864,466
334,495
343,513
517,532
670,534
786,537
720,561
1001,576
685,581
538,596
691,597
888,601
550,609
947,651
804,658
786,663
835,733
724,750
1029,842
723,867
702,869
822,882
72,1067
