Nuclei_Location_Center_X,Nuclei_Location_Center_Y
541,14
363,22
321,23
354,43
372,56
60,234
144,247
123,285
73,324
177,322
575,393
642,405
112,424
753,444
59,443
142,476
136,513
208,532
262,543
65,563
742,564
288,568
628,579
313,591
172,601
155,616
264,623
539,638
152,642
68,650
120,645
175,658
658,674
227,701
660,743
655,766
874,889
929,899
646,900
884,932
46,937
19,992
846,1003
876,1010
755,1009
724,1022
328,1036
821,1037
716,1042
401,1056
355,1060
