Nuclei_Location_Center_X,Nuclei_Location_Center_Y
871,33
941,59
1056,75
568,133
374,162
541,196
705,200
565,205
626,243
1022,338
489,343
986,358
1051,368
205,370
557,374
158,383
360,380
86,386
204,391
682,399
652,412
974,410
689,422
339,421
913,423
940,436
345,439
671,443
1053,464
366,473
1064,478
317,487
436,488
378,505
346,499
528,499
1034,499
640,506
108,531
884,535
537,550
125,558
107,564
96,575
959,580
104,594
96,622
734,629
85,636
1025,656
674,690
55,692
624,698
60,715
130,736
520,746
28,748
374,768
72,784
39,801
484,801
55,818
299,887
735,881
752,900
354,924
502,928
155,943
294,945
691,956
779,965
683,974
966,973
666,979
607,981
521,980
570,1025
388,1024
493,1022
729,1031
637,1039
656,1045
941,1058
