Nuclei_Location_Center_X,Nuclei_Location_Center_Y
219,34
175,45
1065,51
227,58
784,67
979,70
515,91
794,93
274,93
363,105
53,104
555,112
802,110
271,118
408,124
379,130
219,130
805,137
192,146
386,147
750,166
722,185
328,195
298,201
536,198
123,202
695,207
793,212
488,216
598,220
464,233
388,236
713,236
57,243
359,253
238,264
104,274
369,276
247,282
512,286
416,290
102,294
529,295
701,294
174,304
810,304
309,330
741,338
643,352
62,358
572,360
214,365
439,372
501,391
600,393
191,398
108,395
39,402
20,404
698,413
1018,419
578,425
342,426
827,426
385,435
133,439
837,450
116,452
186,453
463,456
1037,464
254,466
508,467
676,470
500,487
21,486
372,489
558,487
326,498
132,503
355,503
106,505
387,517
618,515
657,527
283,538
48,554
357,558
385,560
622,563
32,573
679,573
98,573
795,580
487,591
557,587
783,600
648,605
150,613
412,615
248,653
372,654
514,658
624,657
33,673
468,684
570,691
69,704
552,708
157,721
361,722
585,719
914,739
682,742
310,743
19,748
293,752
606,789
72,791
498,799
203,807
15,813
221,825
397,823
172,839
346,845
233,847
323,850
969,848
252,853
275,859
624,859
118,867
371,865
356,870
445,874
114,888
357,886
1037,902
420,908
1037,921
437,922
343,926
303,926
112,948
72,960
990,959
237,968
83,975
246,992
121,1008
305,1040
351,1038
974,1041
55,1048
231,1052
430,1058
