Nuclei_Location_Center_X,Nuclei_Location_Center_Y
923,20
816,64
806,77
905,117
1000,138
330,144
926,144
305,168
1035,169
286,178
568,181
600,205
655,228
614,252
775,281
741,289
886,310
695,316
1014,327
998,349
922,367
837,379
1034,401
758,419
533,420
606,422
963,421
586,426
633,439
699,440
467,446
615,447
811,449
1013,452
434,460
988,464
896,478
474,488
916,491
438,490
588,493
799,505
367,511
744,512
640,512
914,521
532,521
892,536
584,533
779,545
456,545
815,547
299,558
308,572
392,569
527,577
745,582
490,588
677,602
438,610
741,611
616,613
469,617
613,633
577,633
894,665
369,667
484,663
684,691
490,699
605,700
684,725
649,740
673,739
446,755
195,758
890,769
246,773
463,797
530,794
626,793
965,813
316,811
234,832
316,836
551,838
349,837
728,843
916,855
247,866
400,865
614,866
982,874
179,876
1032,881
861,886
355,898
531,902
324,918
249,919
484,921
180,926
407,928
907,937
356,939
952,940
554,947
441,975
779,995
1018,998
936,1006
924,1031
844,1043
