Nuclei_Location_Center_X,Nuclei_Location_Center_Y
894,132
1025,139
805,197
915,203
377,204
980,210
306,232
571,236
1045,244
662,260
496,303
964,308
812,309
364,313
419,331
520,335
119,367
999,384
906,392
789,407
771,504
610,514
876,511
38,517
971,527
97,538
134,556
395,568
704,582
845,599
1051,592
326,605
1039,611
139,629
966,643
767,649
597,653
1006,681
325,690
897,709
1019,717
692,737
805,741
582,753
746,776
746,798
966,813
882,819
529,820
810,846
426,856
618,854
566,855
854,869
561,877
1058,883
711,889
485,895
178,917
839,931
27,941
571,952
939,952
142,990
1008,993
669,997
498,1004
431,1021
890,1020
336,1034
