Nuclei_Location_Center_X,Nuclei_Location_Center_Y
689,19
908,24
719,41
977,45
523,45
444,45
658,43
708,53
1033,55
377,60
867,84
46,90
117,130
202,146
1000,159
627,174
1036,184
839,193
1030,200
962,223
1014,224
760,240
875,243
923,264
620,262
870,263
490,267
655,271
258,282
816,284
1051,286
1007,295
883,314
993,313
672,352
234,370
951,366
386,395
1012,420
806,423
944,427
354,435
587,465
481,478
856,481
698,492
943,507
966,534
905,536
921,547
754,558
978,550
958,559
1048,563
692,578
972,600
388,603
550,607
834,618
895,617
1010,618
906,634
148,640
517,645
154,655
168,659
504,661
1047,663
992,676
721,679
877,704
972,712
722,723
286,730
610,750
189,751
551,822
953,826
377,831
387,846
464,842
71,863
465,868
391,878
25,908
370,910
903,913
610,921
347,923
416,928
661,932
560,930
365,936
865,936
335,942
311,955
399,949
79,950
524,958
711,970
853,972
612,978
626,987
603,989
825,992
533,1007
1032,1007
655,1011
748,1017
529,1028
1055,1030
551,1035
664,1051
841,1052
