Nuclei_Location_Center_X,Nuclei_Location_Center_Y
302,60
281,67
312,81
242,151
251,197
175,202
132,215
996,235
219,249
149,256
116,261
348,263
1060,264
310,298
963,304
939,315
174,311
997,328
143,334
200,332
909,404
981,406
820,417
781,437
480,446
877,443
988,444
887,460
811,465
497,475
856,480
965,479
723,485
923,507
1029,508
330,515
718,515
791,532
958,531
246,540
274,539
315,540
1044,540
403,552
432,554
412,567
1027,588
1067,599
1050,603
1019,626
1051,625
986,628
996,656
979,661
945,668
748,937
881,1001
816,1012
