Nuclei_Location_Center_X,Nuclei_Location_Center_Y
156,20
534,24
519,41
55,192
69,204
453,205
483,211
424,216
108,237
405,240
158,274
62,278
190,309
112,325
806,344
869,367
870,395
783,414
820,422
849,442
181,451
174,471
808,473
774,504
838,510
215,517
164,529
92,558
886,558
150,569
50,574
801,593
471,608
24,613
679,616
136,623
340,650
991,660
110,665
1042,671
407,678
495,688
854,689
666,701
120,702
170,702
288,712
56,714
686,718
319,719
453,727
400,733
40,735
1019,732
708,741
353,746
757,753
785,770
273,773
201,785
337,790
436,795
86,806
275,834
244,836
466,835
197,847
439,844
425,881
481,883
461,889
273,900
431,903
450,906
77,908
106,919
469,925
257,932
322,1029
