Nuclei_Location_Center_X,Nuclei_Location_Center_Y
365,72
467,86
254,172
656,174
683,185
1007,228
920,243
480,265
220,260
581,283
663,283
970,307
523,309
279,329
197,347
896,357
918,361
69,379
1002,371
290,375
500,374
240,390
801,387
299,396
709,405
410,424
560,437
793,447
369,463
59,472
914,478
998,490
335,505
317,513
1053,518
645,522
344,521
440,530
328,532
960,533
364,541
551,544
531,547
877,556
193,571
784,570
942,594
21,599
666,600
1058,599
1052,652
909,679
230,680
120,731
1055,743
169,779
249,798
186,842
298,864
85,886
