Nuclei_Location_Center_X,Nuclei_Location_Center_Y
1049,18
884,23
862,33
878,57
22,55
1014,68
934,97
27,128
868,130
980,142
807,139
868,156
803,162
1002,179
932,200
1058,216
881,280
1045,303
970,313
927,337
1026,356
495,439
965,479
446,498
404,543
464,558
869,585
224,596
859,611
878,611
691,611
912,626
727,618
704,649
321,657
796,657
191,685
361,720
609,766
27,786
1000,788
585,794
615,803
86,804
557,815
912,858
823,873
724,895
753,920
1049,961
830,984
805,990
650,1014
881,1035
858,1039
