Nuclei_Location_Center_X,Nuclei_Location_Center_Y
284,66
862,78
208,83
776,95
134,99
853,99
530,99
868,118
928,117
284,156
927,149
663,162
374,171
561,181
216,196
496,196
997,202
486,213
857,219
990,238
520,264
903,266
312,270
628,287
429,289
752,297
66,310
266,321
221,330
890,332
347,340
445,363
818,374
506,378
376,377
55,397
612,399
241,404
1055,410
307,418
174,419
851,432
934,472
151,474
41,474
419,476
271,481
352,482
534,482
617,485
1005,492
750,498
837,502
459,526
332,544
115,546
415,558
667,557
768,565
235,569
541,576
908,576
828,574
444,604
732,597
716,607
748,607
185,608
1007,626
168,639
542,638
355,639
138,660
769,657
284,681
216,680
424,685
578,712
363,723
468,739
736,739
971,740
303,785
39,823
768,815
795,822
478,831
1027,858
584,861
681,860
912,866
964,869
822,889
349,905
251,911
974,911
650,949
875,952
186,953
750,966
282,971
828,995
603,995
1002,997
940,1014
1052,1039
301,1039
797,1046
77,1043
973,1057
